iliacus,psoas,pectineus,sartorius,rectus femoris,abductor longus,abductor magnus 1,abductor magnus 2,abductor magnus 3,abductor brevis,gracillis,glutus maximus,glutus medius 1,glutus medius 2,glutus medius 3,glutus minimus 1,glutus minimus 2,glutus minimus 3,tensor fascia lata,piriformis,obturator internus,glemellus superior,glemellus inferior,quadratus femoris,obturator externus,semi tendinosus,semi membranosus,hip joint force,fixed support
1825,1765,8545,198,249,8544,3883,8652,8894,8630,9117,6686,5084,1620,1866,494,180,450,75,4322,6640,2738,5212,6499,6988,4527,2785,1130,7133
1560,2048,7825,213,349,8548,3882,8340,8901,8859,9125,6711,4352,2953,1602,493,326,601,88,4351,6641,3238,5959,6450,6948,4528,2777,1139,7235
1296,2418,7323,231,366,8235,4526,7964,8678,8849,9134,6732,4323,3673,865,337,179,449,76,4351,6642,2739,4503,7027,7474,5249,2350,1146,7536
1040,2867,8231,230,365,8778,3873,7952,8685,8842,9236,7292,4324,3674,675,336,178,448,66,5082,6604,3237,3871,6500,7462,5248,2778,1151,7537
1295,2063,7322,250,390,8783,3292,7975,8690,9013,9244,5916,4353,3675,498,492,325,421,7,5850,6564,2751,5227,5829,7475,4529,2786,1155,7538
1039,3389,6745,214,506,8789,3293,8339,8695,9005,9133,6678,4354,3644,495,502,312,420,1,6605,6520,3253,5975,5828,6949,4530,2779,1159,7568
1001,3388,6000,101,389,8956,3282,8351,8699,8998,9141,6703,5054,1645,503,667,324,419,2,7176,6471,3827,5958,6543,6989,3886,2787,1162,7573
1002,3375,6003,87,515,8963,3281,8363,8397,8990,9149,6704,4325,1907,679,335,477,444,8,4321,6472,3844,5974,7026,,4523,2351,1164,7605
784,3374,5250,102,535,8962,3872,7963,8402,8983,9259,6726,4293,1924,882,491,311,471,9,4350,6421,3222,5226,6498,,4524,2352,1432,7606
783,2839,5255,232,514,9094,3861,8350,8406,8976,9148,7287,4294,2221,1113,666,323,472,3,5081,6371,3790,5238,7025,,3887,2780,1695,7636
1040,2390,3894,251,534,8950,3268,8362,8040,8969,9156,7289,4326,2597,1368,678,476,445,10,5813,6319,3791,5987,7063,,3302,2766,1968,7666
1041,2021,4534,116,685,8963,4516,7962,8067,8795,9020,7290,4327,3058,881,490,489,446,4,6521,6266,3809,4515,6542,,3301,2776,2267,7673
1003,1722,3895,,533,9213,3860,7974,8020,8802,9029,7291,4295,3079,1112,665,310,447,5,7075,6218,2724,3881,5863,,3885,2344,1973,7693
752,1451,8542,,695,,4504,7983,8386,9126,9163,7288,3648,3080,496,677,456,598,11,4320,6219,3204,4525,6987,,3300,2345,1699,7700
577,1192,3308,,709,,3845,7973,8392,8991,9028,7303,4328,6494,497,854,475,599,12,4349,6190,2762,3858,5117,,3884,2784,2275,7720
578,1193,2790,,694,,3846,8371,7998,9118,9101,7304,4296,6495,504,880,639,600,6,5048,6191,3267,6672,5118,,5244,3296,2274,7726
